,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
0,1100.0,1724.3,1717.7,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1721.0
1,1500.0,1453.5,1450.6,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1452.05
2,1600.0,1353.1,1350.2,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1351.65
3,1700.0,1253.8,1250.9,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1252.35
4,1725.0,1097.2,1092.0,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1094.6
5,1750.0,1070.7,1064.3,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1067.5
6,1775.0,1099.1,1094.8,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1096.9499999999998
7,1800.0,1152.6,1149.7,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1151.15
8,1825.0,972.7,967.9,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,970.3
9,1850.0,974.7,968.8,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,971.75
10,1875.0,949.3,943.3,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,946.3
11,1900.0,1053.8,1050.9,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1052.35
12,1925.0,1029.7,1026.8,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1028.25
13,1950.0,1004.7,1001.8,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,1003.25
14,2000.0,955.0,952.1,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,953.55
15,2025.0,930.1,927.2,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,928.6500000000001
16,2100.0,854.9,852.1,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,853.5
17,2125.0,687.8,675.9,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,681.8499999999999
18,2150.0,805.4,802.5,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,803.95
19,2175.0,780.3,777.4,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,778.8499999999999
20,2200.0,755.6,752.7,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,754.1500000000001
21,2225.0,731.7,728.9,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,730.3
22,2275.0,682.8,679.9,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,681.3499999999999
23,2300.0,657.4,654.6,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,656.0
24,2325.0,633.0,630.0,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,631.5
25,2350.0,607.9,605.0,1.0000000000000003e-05,call,2020-06-19,0.12301587301587301,606.45
26,2375.0,583.8,580.9,0.2580640600585938,call,2020-06-19,0.12301587301587301,582.3499999999999
27,2400.0,559.0,556.1,0.27234614379882804,call,2020-06-19,0.12301587301587301,557.55
28,2425.0,536.3,533.4,0.3439091488647461,call,2020-06-19,0.12301587301587301,534.8499999999999
29,2475.0,487.4,486.2,0.3331975860595704,call,2020-06-19,0.12301587301587301,486.79999999999995
30,2500.0,462.2,461.2,0.31427687683105465,call,2020-06-19,0.12301587301587301,461.7
31,2525.0,438.6,437.5,0.3182746395874023,call,2020-06-19,0.12301587301587301,438.05
32,2550.0,416.2,415.0,0.3303289624023437,call,2020-06-19,0.12301587301587301,415.6
33,2575.0,393.0,391.8,0.32910827148437494,call,2020-06-19,0.12301587301587301,392.4
34,2600.0,368.6,367.4,0.31606213729858396,call,2020-06-19,0.12301587301587301,368.0
35,2625.0,347.0,345.8,0.3221961091613769,call,2020-06-19,0.12301587301587301,346.4
36,2650.0,323.9,322.7,0.3150398086547851,call,2020-06-19,0.12301587301587301,323.29999999999995
37,2675.0,301.5,300.3,0.3102409674835205,call,2020-06-19,0.12301587301587301,300.9
38,2700.0,279.7,278.5,0.30644919631958006,call,2020-06-19,0.12301587301587301,279.1
39,2725.0,257.9,256.7,0.300437293548584,call,2020-06-19,0.12301587301587301,257.29999999999995
40,2750.0,236.1,235.1,0.2924875439453124,call,2020-06-19,0.12301587301587301,235.6
41,2775.0,215.3,214.1,0.2867121500396729,call,2020-06-19,0.12301587301587301,214.7
42,2800.0,194.6,193.6,0.2791438663482666,call,2020-06-19,0.12301587301587301,194.1
43,2825.0,174.3,173.3,0.2708927586746216,call,2020-06-19,0.12301587301587301,173.8
44,2850.0,155.0,154.0,0.2637784194183349,call,2020-06-19,0.12301587301587301,154.5
45,2875.0,136.1,135.1,0.2554853504943848,call,2020-06-19,0.12301587301587301,135.6
46,2900.0,117.7,116.8,0.24616995292663577,call,2020-06-19,0.12301587301587301,117.25
47,2925.0,100.0,99.3,0.2361908046722412,call,2020-06-19,0.12301587301587301,99.65
48,2950.0,84.0,83.3,0.22808846870422364,call,2020-06-19,0.12301587301587301,83.65
49,2975.0,69.9,69.3,0.2219964580917358,call,2020-06-19,0.12301587301587301,69.6
50,3000.0,56.6,56.1,0.21447013565063477,call,2020-06-19,0.12301587301587301,56.35
51,3025.0,44.9,44.4,0.20755415866851806,call,2020-06-19,0.12301587301587301,44.65
52,3050.0,34.4,34.0,0.1998218446350098,call,2020-06-19,0.12301587301587301,34.2
53,3075.0,26.1,25.7,0.19443554595947266,call,2020-06-19,0.12301587301587301,25.9
54,3100.0,19.7,19.4,0.1910328700256348,call,2020-06-19,0.12301587301587301,19.549999999999997
55,3125.0,14.4,14.1,0.18720295227050782,call,2020-06-19,0.12301587301587301,14.25
