,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
0,28.0,1.71,1.55,0.46484910156250003,call,2020-05-22,0.023809523809523808,1.63
1,29.0,0.9,0.77,0.38672488281249995,call,2020-05-22,0.023809523809523808,0.835
2,30.0,0.29,0.21,0.30664755859375,call,2020-05-22,0.023809523809523808,0.25
3,30.5,0.2,0.08,0.34278000976562495,call,2020-05-22,0.023809523809523808,0.14
4,31.0,0.12,0.02,0.35547519531249994,call,2020-05-22,0.023809523809523808,0.06999999999999999
5,31.5,0.15,0.0,0.45898978515625005,call,2020-05-22,0.023809523809523808,0.075
6,32.0,0.15,0.0,0.5293015820312501,call,2020-05-22,0.023809523809523808,0.075
7,32.5,0.14,0.0,0.5839885351562499,call,2020-05-22,0.023809523809523808,0.07
8,33.0,0.39,0.0,0.7128934960937501,call,2020-05-22,0.023809523809523808,0.195
9,34.0,0.14,0.0,0.6523472265625001,call,2020-05-22,0.023809523809523808,0.07
10,28.0,0.25,0.12,0.49023947265625006,put,2020-05-22,0.023809523809523808,0.185
11,28.5,0.27,0.19,0.40430283203125,put,2020-05-22,0.023809523809523808,0.23
12,29.0,0.39,0.3,0.37305314453125,put,2020-05-22,0.023809523809523808,0.345
13,30.0,,1.38,0.6738313867187502,put,2020-05-22,0.023809523809523808,1.38
14,33.5,0.0,0.0,1.0000000000000003e-05,put,2020-05-22,0.023809523809523808,0.0
15,25.0,5.0,3.95,0.945313046875,call,2020-05-29,0.051587301587301584,4.475
16,30.5,0.27,0.19,0.27930408203124996,call,2020-05-29,0.051587301587301584,0.23
17,31.5,0.23,0.02,0.37793590820312495,call,2020-05-29,0.051587301587301584,0.125
18,32.0,0.22,0.0,0.424810439453125,call,2020-05-29,0.051587301587301584,0.11
19,33.0,0.2,0.0,0.507817421875,call,2020-05-29,0.051587301587301584,0.1
20,25.0,0.25,0.02,0.6250037500000001,put,2020-05-29,0.051587301587301584,0.135
21,25.5,0.25,0.05,0.5820354296875,put,2020-05-29,0.051587301587301584,0.15
22,26.5,,,0.0,put,2020-05-29,0.051587301587301584,
23,28.0,,,0.0,put,2020-05-29,0.051587301587301584,
24,29.0,0.58,0.48,0.3505924316406249,put,2020-05-29,0.051587301587301584,0.53
25,30.0,1.0,0.87,0.3086006640625,put,2020-05-29,0.051587301587301584,0.935
26,30.5,1.31,1.16,0.29492892578124996,put,2020-05-29,0.051587301587301584,1.2349999999999999
27,31.5,2.5,1.11,0.523442265625,put,2020-05-29,0.051587301587301584,1.8050000000000002
28,23.0,7.1,4.95,1.083988955078125,call,2020-06-05,0.07936507936507936,6.025
29,23.5,,,0.0,call,2020-06-05,0.07936507936507936,
30,24.0,6.25,0.0,1.0410204199218753,call,2020-06-05,0.07936507936507936,3.125
31,24.5,,,0.0,call,2020-06-05,0.07936507936507936,
32,25.0,,,0.0,call,2020-06-05,0.07936507936507936,
33,26.0,,,0.0,call,2020-06-05,0.07936507936507936,
34,32.0,0.2,0.02,0.335944140625,call,2020-06-05,0.07936507936507936,0.11
35,28.0,0.57,0.41,0.424810439453125,put,2020-06-05,0.07936507936507936,0.49
36,29.0,0.75,0.64,0.348639326171875,put,2020-06-05,0.07936507936507936,0.6950000000000001
37,30.0,1.17,1.03,0.313483427734375,put,2020-06-05,0.07936507936507936,1.1
38,31.0,1.8,1.65,0.2890696093749999,put,2020-06-05,0.07936507936507936,1.725
39,23.5,,,0.0,call,2020-06-12,0.10714285714285714,
40,24.5,6.0,4.55,0.5927775097656252,call,2020-06-12,0.10714285714285714,5.275
41,25.0,4.65,4.4,0.46094289062500005,call,2020-06-12,0.10714285714285714,4.525
